A Box died T_T | [2024-01-11 19:36:05.943537]
Player received 50 points | [2024-01-11 19:36:05.944537]
A Box died T_T | [2024-01-11 19:36:06.500438]
Player received 50 points | [2024-01-11 19:36:06.501442]
A Box died T_T | [2024-01-11 19:36:06.864920]
Player received 50 points | [2024-01-11 19:36:06.865923]
A Platform died T_T | [2024-01-11 19:36:09.420321]
Player received 50 points | [2024-01-11 19:36:09.421324]
A Box died T_T | [2024-01-11 19:36:09.712156]
Player received 50 points | [2024-01-11 19:36:09.713159]
A Box died T_T | [2024-01-11 19:36:10.093316]
Player received 50 points | [2024-01-11 19:36:10.094320]
A Platform died T_T | [2024-01-11 19:36:10.272530]
Player received 50 points | [2024-01-11 19:36:10.273526]
A Box died T_T | [2024-01-11 19:36:10.656643]
Player received 50 points | [2024-01-11 19:36:10.657647]
A Platform died T_T | [2024-01-11 19:36:14.456138]
Player received 50 points | [2024-01-11 19:36:14.457137]
A Box died T_T | [2024-01-11 19:36:14.950744]
Player received 50 points | [2024-01-11 19:36:14.950744]
A Platform died T_T | [2024-01-11 19:36:15.568716]
Player received 50 points | [2024-01-11 19:36:15.569718]
A Box died T_T | [2024-01-11 19:36:16.349160]
Player received 50 points | [2024-01-11 19:36:16.350668]
A Box died T_T | [2024-01-11 19:36:16.434405]
Player received 50 points | [2024-01-11 19:36:16.434405]
A Box died T_T | [2024-01-11 19:36:17.493560]
Player received 50 points | [2024-01-11 19:36:17.494553]
A Box died T_T | [2024-01-11 19:36:17.957194]
Player received 50 points | [2024-01-11 19:36:17.958193]
A Platform died T_T | [2024-01-11 19:36:18.343761]
Player received 50 points | [2024-01-11 19:36:18.343761]
A Platform died T_T | [2024-01-11 19:36:18.879073]
Player received 50 points | [2024-01-11 19:36:18.880086]
A Platform died T_T | [2024-01-11 19:36:19.720016]
Player received 50 points | [2024-01-11 19:36:19.721523]
A Platform died T_T | [2024-01-11 19:36:20.884117]
Player received 50 points | [2024-01-11 19:36:20.884117]
A Platform died T_T | [2024-01-11 19:36:21.243032]
Player received 50 points | [2024-01-11 19:36:21.244041]
A Box died T_T | [2024-01-11 19:36:21.521375]
Player received 50 points | [2024-01-11 19:36:21.522377]
A Platform died T_T | [2024-01-11 19:36:23.173482]
Player received 50 points | [2024-01-11 19:36:23.174486]
A Box died T_T | [2024-01-11 19:36:23.492539]
Player received 50 points | [2024-01-11 19:36:23.493538]
A Platform died T_T | [2024-01-11 19:36:23.881665]
Player received 50 points | [2024-01-11 19:36:23.881665]
A Box died T_T | [2024-01-11 19:36:24.427902]
Player received 50 points | [2024-01-11 19:36:24.428902]
A Box died T_T | [2024-01-11 19:36:24.899829]
Player received 50 points | [2024-01-11 19:36:24.900833]
A Box died T_T | [2024-01-11 19:36:25.264984]
Player received 50 points | [2024-01-11 19:36:25.265980]
A Box died T_T | [2024-01-11 19:36:25.718169]
Player received 50 points | [2024-01-11 19:36:25.719168]
A Platform died T_T | [2024-01-11 19:36:25.794621]
Player received 50 points | [2024-01-11 19:36:25.794621]
A Platform died T_T | [2024-01-11 19:36:26.236412]
Player received 50 points | [2024-01-11 19:36:26.237417]
A Platform died T_T | [2024-01-11 19:36:26.588317]
Player received 50 points | [2024-01-11 19:36:26.589321]
A Platform died T_T | [2024-01-11 19:36:27.126243]
Player received 50 points | [2024-01-11 19:36:27.127246]
A Box died T_T | [2024-01-11 19:36:27.486170]
Player received 50 points | [2024-01-11 19:36:27.486170]
A Platform died T_T | [2024-01-11 19:36:28.215362]
Player received 50 points | [2024-01-11 19:36:28.215362]
A Platform died T_T | [2024-01-11 19:36:28.408556]
Player received 50 points | [2024-01-11 19:36:28.409564]
A Box died T_T | [2024-01-11 19:36:28.580911]
Player received 50 points | [2024-01-11 19:36:28.580911]
Game started | [2024-01-11 19:36:47.086542]
Game ended | [2024-01-11 19:36:55.835972]
Game started | [2024-01-11 19:36:58.463262]
A Platform died T_T | [2024-01-11 19:37:03.394990]
Player received 50 points | [2024-01-11 19:37:03.395946]
A Box died T_T | [2024-01-11 19:37:06.058424]
Player received 50 points | [2024-01-11 19:37:06.059425]
A Box died T_T | [2024-01-11 19:37:06.179254]
Player received 50 points | [2024-01-11 19:37:06.179254]
A Box died T_T | [2024-01-11 19:37:06.633101]
Player received 50 points | [2024-01-11 19:37:06.634107]
A Box died T_T | [2024-01-11 19:37:07.030192]
Player received 50 points | [2024-01-11 19:37:07.031196]
A Box died T_T | [2024-01-11 19:37:07.684987]
Player received 50 points | [2024-01-11 19:37:07.685990]
A Box died T_T | [2024-01-11 19:37:08.008996]
Player received 50 points | [2024-01-11 19:37:08.009999]
A Platform died T_T | [2024-01-11 19:37:08.229392]
Player received 50 points | [2024-01-11 19:37:08.230388]
A Box died T_T | [2024-01-11 19:37:08.818843]
Player received 50 points | [2024-01-11 19:37:08.819847]
A Platform died T_T | [2024-01-11 19:37:10.355831]
Player received 50 points | [2024-01-11 19:37:10.356837]
A Box died T_T | [2024-01-11 19:37:10.576941]
Player received 50 points | [2024-01-11 19:37:10.577950]
A Box died T_T | [2024-01-11 19:37:10.935343]
Player received 50 points | [2024-01-11 19:37:10.936850]
A Platform died T_T | [2024-01-11 19:37:11.003750]
Player received 50 points | [2024-01-11 19:37:11.004753]
A Platform died T_T | [2024-01-11 19:37:11.038148]
Player received 50 points | [2024-01-11 19:37:11.039151]
A Platform died T_T | [2024-01-11 19:37:11.261507]
Player received 50 points | [2024-01-11 19:37:11.262508]
A Box died T_T | [2024-01-11 19:37:11.825730]
Player received 50 points | [2024-01-11 19:37:11.826732]
A Box died T_T | [2024-01-11 19:37:12.115347]
Player received 50 points | [2024-01-11 19:37:12.116345]
A Platform died T_T | [2024-01-11 19:37:12.485468]
Player received 50 points | [2024-01-11 19:37:12.486471]
A Platform died T_T | [2024-01-11 19:37:13.117545]
Player received 50 points | [2024-01-11 19:37:13.118543]
A Platform died T_T | [2024-01-11 19:37:13.231325]
Player received 50 points | [2024-01-11 19:37:13.231325]
A Box died T_T | [2024-01-11 19:37:13.754015]
Player received 50 points | [2024-01-11 19:37:13.754015]
A Box died T_T | [2024-01-11 19:37:14.110895]
Player received 50 points | [2024-01-11 19:37:14.111898]
A Box died T_T | [2024-01-11 19:37:14.455713]
Player received 50 points | [2024-01-11 19:37:14.455713]
A Box died T_T | [2024-01-11 19:37:14.556716]
Player received 50 points | [2024-01-11 19:37:14.556716]
A Platform died T_T | [2024-01-11 19:37:14.853482]
Player received 50 points | [2024-01-11 19:37:14.853482]
A Box died T_T | [2024-01-11 19:37:15.380435]
Player received 50 points | [2024-01-11 19:37:15.381431]
A Box died T_T | [2024-01-11 19:37:16.550085]
Player received 50 points | [2024-01-11 19:37:16.550085]
A Box died T_T | [2024-01-11 19:37:16.823327]
Player received 50 points | [2024-01-11 19:37:16.824834]
A Box died T_T | [2024-01-11 19:37:17.871073]
Player received 50 points | [2024-01-11 19:37:17.872071]
A Box died T_T | [2024-01-11 19:37:18.597809]
Player received 50 points | [2024-01-11 19:37:18.598811]
A Platform died T_T | [2024-01-11 19:37:19.146634]
Player received 50 points | [2024-01-11 19:37:19.147635]
A Box died T_T | [2024-01-11 19:37:19.359830]
Player received 50 points | [2024-01-11 19:37:19.360833]
A Box died T_T | [2024-01-11 19:37:20.085125]
Player received 50 points | [2024-01-11 19:37:20.086128]
A Box died T_T | [2024-01-11 19:37:20.499158]
Player received 50 points | [2024-01-11 19:37:20.499158]
A Box died T_T | [2024-01-11 19:37:20.791756]
Player received 50 points | [2024-01-11 19:37:20.793262]
A Box died T_T | [2024-01-11 19:37:21.757844]
Player received 50 points | [2024-01-11 19:37:21.757844]
A Platform died T_T | [2024-01-11 19:37:22.412239]
Player received 50 points | [2024-01-11 19:37:22.413244]
A Platform died T_T | [2024-01-11 19:37:22.483555]
Player received 50 points | [2024-01-11 19:37:22.483555]
A Box died T_T | [2024-01-11 19:37:46.607189]
Player received 50 points | [2024-01-11 19:37:46.608198]
Game started | [2024-01-11 19:39:46.028132]
A Platform died T_T | [2024-01-11 19:40:10.795596]
Player received 50 points | [2024-01-11 19:40:10.796595]
A Box died T_T | [2024-01-11 19:40:10.811628]
Player received 50 points | [2024-01-11 19:40:10.812639]
A Platform died T_T | [2024-01-11 19:40:13.110170]
Player received 50 points | [2024-01-11 19:40:13.111173]
A Platform died T_T | [2024-01-11 19:40:16.384890]
Player received 50 points | [2024-01-11 19:40:16.385890]
A Box died T_T | [2024-01-11 19:40:27.799047]
Player received 50 points | [2024-01-11 19:40:27.800058]
A Box died T_T | [2024-01-11 19:40:36.816423]
Player received 50 points | [2024-01-11 19:40:36.817933]
A Box died T_T | [2024-01-11 19:40:39.667362]
Player received 50 points | [2024-01-11 19:40:39.668364]
A Box died T_T | [2024-01-11 19:40:48.144252]
Player received 50 points | [2024-01-11 19:40:48.145249]
A Platform died T_T | [2024-01-11 19:40:48.891126]
Player received 50 points | [2024-01-11 19:40:48.892127]
A Box died T_T | [2024-01-11 19:40:48.954088]
Player received 50 points | [2024-01-11 19:40:48.955097]
A Box died T_T | [2024-01-11 19:40:49.307738]
Player received 50 points | [2024-01-11 19:40:49.309253]
A Platform died T_T | [2024-01-11 19:40:49.581211]
Player received 50 points | [2024-01-11 19:40:49.582216]
A Box died T_T | [2024-01-11 19:40:50.478028]
Player received 50 points | [2024-01-11 19:40:50.479032]
A Box died T_T | [2024-01-11 19:40:50.629493]
Player received 50 points | [2024-01-11 19:40:50.630503]
A Box died T_T | [2024-01-11 19:40:50.954775]
Player received 50 points | [2024-01-11 19:40:50.955778]
Game started | [2024-01-11 19:41:01.566953]
Game ended | [2024-01-11 19:41:08.446083]
Game started | [2024-01-11 19:41:20.616982]
A Box died T_T | [2024-01-11 19:41:25.409656]
Player received 50 points | [2024-01-11 19:41:25.410664]
Game ended | [2024-01-11 19:41:29.645308]
Game started | [2024-01-11 19:42:30.163157]
Game started | [2024-01-11 19:42:42.386567]
A Platform died T_T | [2024-01-11 19:42:50.691695]
Player received 50 points | [2024-01-11 19:42:50.691695]
Game ended | [2024-01-11 19:43:03.828937]
Game started | [2024-01-11 19:44:39.191389]
Game started | [2024-01-11 19:44:55.072308]
Game started | [2024-01-11 20:02:41.623742]
A Box died T_T | [2024-01-11 20:02:43.160933]
Player received 50 points | [2024-01-11 20:02:43.162503]
Game ended | [2024-01-11 20:03:05.767528]
Game started | [2024-01-11 20:11:28.857662]
A Box died T_T | [2024-01-11 20:11:33.829769]
Player received 50 points | [2024-01-11 20:11:33.830917]
Player died | [2024-01-11 20:11:35.993777]
Game ended | [2024-01-11 20:11:37.562034]
Game started | [2024-01-11 20:15:04.273152]
Player died | [2024-01-11 20:15:14.603666]
Game ended | [2024-01-11 20:15:22.522544]
